NO.,IDW,MIDW,W,ID,HV,HD,IC,O,Iorb,Oorb,M1,M2,IC0,IC1,IC2,IC3,IC4,IC5,IC6,SIC0,SIC1,SIC2,SIC3,SIC4,SIC5,SIC6,CIC0,CIC1,CIC2,CIC3,CIC4,CIC5,CIC6,S0,S1,S2,S3,S4,S5,S6,SC3,SC4,SC5,SC6,SCH3,SCH4,SCH5,SCH6,SPC4,SPC5,SPC6,B0,B1,B2,B3,B4,B5,B6,BC3,BC4,BC5,BC6,BCH3,BCH4,BCY5,BCH6,BPC4,BPC5,BPC6,V0,V1,V2,V3,V4,V5,V6,VC3,VC4,VC5,VC6,VCH3,VCH4,VCH5,VCH6,VPC4,VPC5,VPC6,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
1,14208.766,8.227,1727,4.648,3.182,4.5,2.672,3,4.755,2,152,187,1.866,3.937,4.955,5.112,5.112,5.112,5.112,0.344,0.725,0.913,0.942,0.942,0.942,0.942,3.56,1.49,0.471,0.314,0.314,0.314,0.314,19.345,12.831,12.403,11.075,8.914,6.986,5.566,2.681,0.204,0.907,0.102,0,0,0.214,0.374,6.522,9.871,15.263,17.317,10.185,8.893,6.786,4.486,3.118,2.153,1.942,0.177,0.449,0.059,0,0,0.09,0.143,3.849,4.736,6.246,15.235,8.404,6.853,4.656,3.062,2.06,1.273,1.294,0.079,0.227,0.013,0,0,0.045,0.088,2.178,2.665,3.476,27,30,46,65,87,110,139,163,194,227,246
2,1149.976,5.837,197,3.536,2.55,3.285,2,3,3.585,2,60,69,1.422,2.903,3.969,4.263,4.263,4.263,4.263,0.314,0.642,0.877,0.942,0.942,0.942,0.942,3.102,1.621,0.555,0.261,0.261,0.261,0.261,8.389,5.898,4.931,4.036,3.502,2.59,1.635,0.537,0,0.083,0,0,0,0.096,0.287,1.28,2.165,2.793,7.321,4.449,3.124,2.092,1.533,0.939,0.533,0.266,0,0.025,0,0,0,0.037,0.094,0.525,0.768,0.834,6.734,3.962,2.657,1.734,1.183,0.725,0.378,0.212,0,0.018,0,0,0,0.026,0.072,0.408,0.559,0.604,12,13,17,22,29,32,29,27,23,10,6
3,6329.819,7.343,862,4.237,3.059,4.051,2.423,4,4.022,2,98,113,1.313,2.724,4.05,4.414,4.534,4.534,4.534,0.238,0.493,0.733,0.799,0.821,0.821,0.821,4.211,2.8,1.473,1.109,0.989,0.989,0.989,14.535,9.651,8.24,6.568,5.534,4.307,2.835,1.167,0,0.22,0,0,0,0.096,0.263,2.617,4.276,6.435,13.596,8.421,6.584,4.832,3.731,2.536,1.531,0.804,0,0.118,0,0,0,0.063,0.128,1.676,2.493,3.248,12.706,7.661,5.594,3.857,2.935,1.911,1.114,0.601,0,0.074,0,0,0,0.044,0.096,1.233,1.816,2.217,20,21,28,36,47,55,55,54,61,52,41
4,26171.707,8.572,3053,4.886,3.653,4.643,3.062,4,4.825,2,172,207,1.631,3.296,4.591,5.164,5.259,5.259,5.259,0.278,0.563,0.784,0.881,0.898,0.898,0.898,4.227,2.562,1.267,0.694,0.599,0.599,0.599,21.535,14.991,14.02,12.196,10.416,8.582,6.117,2.254,0,0.513,0,0,0,0.096,0.456,5.37,8.784,13.621,19.787,12.654,10.85,8.607,6.661,5.212,3.381,1.575,0,0.247,0,0,0,0.037,0.249,3.324,4.813,6.904,17.651,11.009,8.745,6.727,4.914,3.623,2.203,1.081,0,0.163,0,0,0,0.021,0.183,2.32,3.165,4.234,31,35,51,70,94,121,132,146,160,174,180
5,7100.265,7.668,926,4.403,2.825,4.235,2.254,4,4.278,2,122,148,1.541,2.898,4,4.629,4.708,4.708,4.708,0.3,0.565,0.78,0.902,0.918,0.918,0.918,3.588,2.232,1.129,0.5,0.422,0.422,0.422,15.104,10.737,9.777,8.582,7.622,6.435,4.626,1.377,0,0.359,0,0,0,0.096,0.39,3.497,6.289,10.312,13.058,7.86,6.154,4.595,3.513,2.544,1.597,0.775,0,0.145,0,0,0,0.042,0.148,1.655,2.563,3.593,12.71,7.369,5.527,3.905,2.873,2.019,1.205,0.666,0,0.105,0,0,0,0.02,0.101,1.317,1.951,2.657,22,25,36,51,72,94,110,132,149,159,160
6,6628.727,7.516,882,4.338,2.871,4.156,2.201,5,3.63,3,108,126,1.13,2.214,3.618,4.016,4.198,4.289,4.289,0.207,0.406,0.663,0.736,0.769,0.786,0.786,4.329,3.245,1.841,1.443,1.262,1.171,1.171,14.656,10.254,8.983,7.263,6.252,5.295,3.829,1.15,0,0.247,0,0,0,0,0.167,2.561,4.351,7.09,13.102,8.122,6.403,4.371,3.197,2.322,1.546,0.829,0,0.101,0,0,0,0,0.056,1.402,1.923,2.644,12.972,7.769,6.024,4.204,3.104,2.265,1.488,0.737,0,0.101,0,0,0,0,0.056,1.336,1.885,2.62,21,23,31,41,55,72,81,92,100,102,100
7,561.937,5.352,105,3.266,2.093,3.045,0.881,2,3.322,2,52,61,1.826,3.239,3.7,3.7,3.7,3.7,3.7,0.494,0.875,1,1,1,1,1,1.874,0.462,0,0,0,0,0,6.975,4.877,4.263,3.683,3.089,1.979,1.166,0.538,0,0.164,0,0,0,0.118,0.219,1.44,2.344,2.944,5.907,3.396,2.473,1.762,1.214,0.643,0.316,0.274,0,0.058,0,0,0,0.043,0.067,0.599,0.8,0.84,4.891,2.658,1.779,1.181,0.714,0.337,0.137,0.172,0,0.029,0,0,0,0.029,0.042,0.349,0.39,0.34,10,11,15,20,25,24,20,16,14,3,0
8,1797.405,6.329,284,3.714,2.526,3.546,1.842,4,3.522,2,72,85,1.505,2.522,3.628,3.921,4.027,4.027,4.027,0.32,0.537,0.772,0.834,0.857,0.857,0.857,3.195,2.178,1.072,0.779,0.673,0.673,0.673,10.129,6.698,6.025,5.099,4.269,2.951,1.434,0.942,0,0.334,0,0,0,0.079,0.383,2.417,4.09,5.88,8.826,5.118,4.14,3.189,2.261,1.335,0.582,0.631,0,0.2,0,0,0,0.048,0.186,1.505,2.11,2.607,8.267,4.51,3.295,2.352,1.508,0.872,0.37,0.406,0,0.111,0,0,0,0.029,0.116,0.924,1.176,1.367,14,15,21,28,36,37,29,28,24,16,10
9,1503.016,6.11,246,3.584,2.437,3.438,1.826,4,3.7,3,60,66,1.51,2.885,3.594,4.071,4.166,4.166,4.166,0.344,0.657,0.818,0.927,0.948,0.948,0.948,2.882,1.507,0.798,0.322,0.226,0.226,0.226,9.845,6.109,5.582,3.598,3.012,2.159,1.241,1.044,0,0.204,0,0,0,0,0.083,1.653,2.541,3.482,8.431,4.492,3.571,1.969,1.416,0.847,0.429,0.601,0,0.08,0,0,0,0,0.028,0.793,1.054,1.217,6.981,3.617,2.395,1.371,0.887,0.521,0.198,0.26,0,0.03,0,0,0,0,0.028,0.392,0.474,0.511,13,13,17,19,23,24,18,11,7,4,4
10,1320.557,5.843,226,3.482,2.692,3.295,2.23,4,3.585,3,46,48,2.064,2.964,3.44,3.726,4.011,4.011,4.011,0.47,0.675,0.783,0.848,0.913,0.913,0.913,2.328,1.429,0.952,0.667,0.381,0.381,0.381,9.397,5.757,4.077,3.002,2.024,1.178,0.392,0.402,0,0.118,0,0,0,0,0,1.069,1.443,1.609,8.604,5.06,3.393,2.26,1.389,0.811,0.296,0.262,0,0.059,0,0,0,0,0,0.621,0.771,0.84,7.807,4.334,2.571,1.358,0.76,0.401,0.156,0.116,0,0.014,0,0,0,0,0,0.228,0.265,0.265,12,11,12,13,12,9,5,3,1,0,0
11,1641.638,6.363,258,3.664,2.329,3.577,1.432,4,3.807,3,76,94,1.784,2.721,3.198,3.396,3.991,3.991,3.991,0.389,0.594,0.698,0.741,0.87,0.87,0.87,2.801,1.864,1.387,1.189,0.594,0.594,0.594,10.456,6.537,6.232,5.877,4.482,3.124,1.97,1.253,0,0.6,0,0,0,0.096,0.244,3.705,5.935,9.181,9.301,5.338,4.56,3.778,2.584,1.66,0.92,0.831,0,0.306,0,0,0,0.048,0.121,2.133,3.034,4.254,8.183,4.108,3.233,2.317,1.471,0.867,0.416,0.545,0,0.142,0,0,0,0.029,0.069,1.157,1.462,1.838,14,15,23,33,42,47,46,38,30,17,4
12,3698.164,7.098,521,4.109,2.552,3.95,1.772,4,3.392,3,96,115,1.453,2.733,3.374,3.907,4.04,4.04,4.04,0.296,0.557,0.688,0.796,0.823,0.823,0.823,3.454,2.174,1.533,1,0.867,0.867,0.867,12.535,8.771,7.815,6.603,5.937,5.114,3.424,1.05,0,0.338,0,0,0,0,0.167,2.684,4.868,8.402,10.558,6.285,4.871,3.549,2.729,1.977,1.131,0.61,0,0.148,0,0,0,0,0.056,1.323,2.032,2.96,9.706,5.729,4.125,3.018,2.211,1.558,0.86,0.404,0,0.088,0,0,0,0,0.056,0.944,1.401,1.934,18,20,28,39,54,70,73,78,84,82,80
13,6053.51,7.155,846,4.168,3.208,3.946,2.76,3,3.722,2,84,91,1.616,2.779,3.945,4.301,4.301,4.301,4.301,0.308,0.53,0.752,0.819,0.819,0.819,0.819,3.632,2.469,1.303,0.947,0.947,0.947,0.947,14.088,9.168,7.443,5.271,4.12,3.078,2.052,0.946,0,0.083,0,0,0,0,0.083,1.664,2.317,3.03,13.044,7.901,5.827,3.794,2.725,1.763,1.067,0.608,0,0.048,0,0,0,0,0.028,1.014,1.337,1.56,12.33,7.416,5.035,3.205,2.299,1.51,0.877,0.369,0,0.037,0,0,0,0,0.028,0.744,1.051,1.282,19,19,23,26,30,34,33,32,30,26,20
14,6728.969,7.51,896,4.322,2.911,4.151,2.226,4,4.297,3,110,129,1.517,2.563,3.893,4.484,4.734,4.734,4.734,0.285,0.482,0.731,0.843,0.89,0.89,0.89,3.805,2.759,1.429,0.838,0.588,0.588,0.588,14.82,10.148,9.275,7.302,6.294,5.578,3.99,1.439,0,0.247,0,0,0,0,0.197,2.871,4.754,8.109,13.525,8.321,6.955,4.762,3.649,2.828,1.875,1.048,0,0.127,0,0,0,0,0.077,1.721,2.465,3.649,13.916,8.331,7.011,4.94,3.831,3.094,2.025,1.067,0,0.137,0,0,0,0,0.086,1.855,2.717,4.199,21,23,32,42,58,80,88,102,113,116,93
15,4527.652,6.819,664,4.021,3.161,3.756,2.514,3,4.087,2,74,80,1.646,3.184,4.265,4.515,4.515,4.515,4.515,0.329,0.637,0.853,0.903,0.903,0.903,0.903,3.354,1.816,0.735,0.485,0.485,0.485,0.485,12.51,8.274,6.369,5.001,3.628,2.08,1.157,0.606,0,0.118,0,0,0,0.118,0.201,1.513,1.962,1.698,11.129,6.563,4.623,3.332,2.138,1.199,0.691,0.391,0,0.059,0,0,0,0.048,0.082,0.879,0.982,0.812,10.712,6.297,4.299,3.028,2.005,1.204,0.738,0.247,0,0.035,0,0,0,0.029,0.049,0.574,0.728,0.685,17,17,20,23,24,19,16,15,15,16,15
16,1900.16,6.313,301,3.74,2.586,3.528,1.877,3,3.379,1,70,80,1.749,3.028,3.621,4.002,4.002,4.002,4.002,0.387,0.669,0.801,0.885,0.885,0.885,0.885,2.775,1.496,0.902,0.522,0.522,0.522,0.522,9.966,6.771,5.936,4.861,3.846,2.439,1.55,0.812,0,0.192,0,0,0,0.144,0.17,1.889,2.842,3.718,9.138,5.502,4.302,3.183,2.253,1.227,0.727,0.521,0,0.102,0,0,0,0.102,0.096,1.114,1.493,1.674,8.861,5.021,3.693,2.51,1.709,0.839,0.489,0.446,0,0.082,0,0,0,0.056,0.052,0.868,1.173,1.253,14,15,20,25,30,30,27,24,22,16,12
17,6332.712,7.685,824,4.377,2.667,4.252,2.118,3,4.459,2,136,178,1.425,3.09,4.833,5.066,5.066,5.066,5.066,0.263,0.57,0.891,0.934,0.934,0.934,0.934,4.001,2.336,0.593,0.361,0.361,0.361,0.361,15.06,10.664,10.227,10.01,9.353,8.73,7.44,1.859,0.068,0.765,0.078,0,0,0.068,0.396,5.573,10.875,20.637,14.232,9.489,8.596,7.941,6.929,6.065,4.862,1.539,0.059,0.584,0.058,0,0,0.051,0.277,4.35,7.89,14.014,12.951,8.102,7.113,6.354,5.389,4.564,3.356,1.218,0.059,0.417,0.048,0,0,0.029,0.204,3.316,5.838,9.928,22,26,42,68,107,162,216,279,342,392,422
18,5599.806,7.378,759,4.283,2.831,4.09,2.183,4,3.622,3,102,120,1.222,2.369,3.719,4.327,4.422,4.422,4.422,0.227,0.439,0.69,0.802,0.82,0.82,0.82,4.171,3.024,1.673,1.066,0.97,0.97,0.97,13.786,9.898,8.154,7.085,6.121,5.234,3.763,0.742,0,0.247,0,0,0,0,0.167,2.272,4.147,6.981,12.439,8.055,5.946,4.621,3.55,2.67,1.815,0.473,0,0.127,0,0,0,0,0.056,1.301,2.126,3.187,12.102,7.479,5.366,4.037,3.025,2.219,1.437,0.412,0,0.098,0,0,0,0,0.056,1.094,1.747,2.565,20,22,29,40,54,71,79,88,94,96,94
19,3449.149,6.871,502,4.023,2.845,3.812,2.257,3,4.087,2,92,111,1.789,3.342,4.444,4.651,4.651,4.651,4.651,0.368,0.688,0.915,0.957,0.957,0.957,0.957,3.069,1.516,0.414,0.207,0.207,0.207,0.207,11.828,8.292,7.325,6.626,5.613,4.059,2.992,1.015,0,0.275,0,0,0,0.214,0.399,2.776,4.614,6.565,10.813,6.852,5.475,4.471,3.359,2.108,1.41,0.691,0,0.116,0,0,0,0.155,0.225,1.651,2.385,2.883,8.983,5.357,3.905,2.843,1.985,1.126,0.647,0.405,0,0.056,0,0,0,0.094,0.13,0.864,1.177,1.283,17,19,27,38,51,58,65,69,74,65,54
20,24171.305,8.472,2853,4.848,3.62,4.589,3.039,5,4.774,3,166,200,1.648,2.954,4.127,4.778,5.199,5.273,5.273,0.286,0.513,0.717,0.83,0.903,0.916,0.916,4.107,2.801,1.628,0.977,0.556,0.481,0.481,20.665,14.597,13.429,11.638,10.34,8.367,5.621,1.984,0,0.467,0,0,0,0.157,0.715,4.816,8.431,12.787,18.629,12.124,10.313,8.3,6.756,5.084,3.272,1.382,0,0.256,0,0,0,0.102,0.391,3.089,4.853,6.669,17.361,10.775,8.423,6.374,4.82,3.442,2.053,0.985,0,0.14,0,0,0,0.056,0.24,2.092,3.057,3.952,30,34,49,68,94,115,120,139,150,139,156
21,14814.645,8.091,1831,4.655,3.409,4.433,2.903,4,4.239,3,128,146,1.49,2.5,3.803,4.582,4.898,4.898,4.898,0.26,0.436,0.664,0.8,0.855,0.855,0.855,4.238,3.228,1.925,1.146,0.83,0.83,0.83,18.192,12.775,10.626,8.701,7.066,5.985,3.794,1.104,0,0.167,0,0,0,0,0.269,2.597,4.277,6.904,16.792,10.891,8.429,6.424,4.841,3.801,2.364,0.813,0,0.097,0,0,0,0,0.143,1.768,2.643,3.85,15.814,9.609,7.015,5.113,3.626,2.71,1.58,0.733,0,0.075,0,0,0,0,0.11,1.51,2.107,2.929,26,28,36,46,59,76,77,92,98,92,90
22,2615.664,6.474,404,3.781,2.858,3.601,2.257,4,3.507,2,70,77,1.252,2.431,3.43,3.695,4.067,4.067,4.067,0.248,0.482,0.68,0.733,0.806,0.806,0.806,3.793,2.613,1.615,1.349,0.978,0.978,0.978,11.422,7.003,6.513,4.491,3.161,2.235,1.313,1.305,0,0.289,0,0,0,0,0.083,2.324,2.797,3.466,10.378,5.746,4.908,2.863,1.698,1.007,0.554,0.971,0,0.15,0,0,0,0,0.028,1.383,1.393,1.441,9.527,5.32,4.399,2.494,1.556,0.925,0.513,0.819,0,0.074,0,0,0,0,0.028,1.033,1.122,1.107,15,15,20,22,24,26,24,26,20,8,0
23,21878.469,8.259,2649,4.752,3.748,4.48,3.244,3,4.807,2,138,156,1.54,3.274,4.794,5.36,5.36,5.36,5.36,0.269,0.572,0.837,0.936,0.936,0.936,0.936,4.188,2.454,0.934,0.368,0.368,0.368,0.368,19.769,13.652,11.629,9.505,7.394,6.01,3.604,1.433,0,0.201,0,0,0,0,0.235,3.181,4.466,6.352,17.637,10.845,8.142,5.873,4.055,2.917,1.674,0.86,0,0.093,0,0,0,0,0.085,1.677,2.085,2.611,16.235,9.37,6.607,4.441,2.881,1.98,1.044,0.594,0,0.039,0,0,0,0,0.059,1.049,1.229,1.456,28,30,39,48,57,69,61,62,67,67,71
24,6628.727,7.516,882,4.338,2.871,4.156,2.201,4,3.63,3,108,126,1.209,2.185,3.603,4.125,4.303,4.303,4.303,0.22,0.398,0.656,0.751,0.783,0.783,0.783,4.283,3.307,1.889,1.367,1.189,1.189,1.189,14.656,10.254,8.983,7.263,6.252,5.295,3.829,1.15,0,0.247,0,0,0,0,0.167,2.561,4.351,7.09,13.309,8.41,6.775,4.799,3.682,2.735,1.878,0.881,0,0.127,0,0,0,0,0.056,1.59,2.331,3.299,13.049,7.836,6.066,4.216,3.156,2.273,1.49,0.729,0,0.098,0,0,0,0,0.056,1.317,1.905,2.634,21,23,31,41,55,72,81,92,100,102,100
25,11420.358,8.02,1424,4.541,3.137,4.411,2.649,3,4.484,2,132,158,1.633,3.351,4.5,4.882,4.882,4.882,4.882,0.305,0.626,0.84,0.911,0.911,0.911,0.911,3.725,2.006,0.858,0.476,0.476,0.476,0.476,18.137,11.918,11.024,9.123,7.654,6.52,4.591,1.972,0,0.46,0,0,0,0.064,0.389,4.39,7.284,12.199,15.813,8.945,7.065,4.937,3.478,2.555,1.543,1.102,0,0.179,0,0,0,0.028,0.143,2.037,2.84,4.091,14.463,7.94,6.004,4.308,2.967,2.107,1.185,0.819,0,0.143,0,0,0,0.026,0.138,1.664,2.283,3.147,25,27,39,53,73,97,109,126,134,122,117
26,11014.598,8.011,1375,4.552,3.078,4.396,2.553,3,4.564,2,140,172,1.77,3.583,4.65,4.766,4.766,4.766,4.766,0.33,0.669,0.868,0.89,0.89,0.89,0.89,3.588,1.775,0.708,0.592,0.592,0.592,0.592,17.715,11.969,11.368,10.042,8.557,6.747,5.322,1.986,0,0.726,0,0,0,0.214,0.383,5.218,8.337,13.495,15.688,9.317,7.855,5.811,4.238,2.977,2.035,1.286,0,0.344,0,0,0,0.09,0.147,2.759,3.674,5.24,14.711,8.204,6.607,4.395,3.023,2.049,1.263,1.063,0,0.213,0,0,0,0.045,0.089,1.94,2.44,3.318,25,28,42,60,83,105,131,153,182,209,220
27,24866.471,8.353,2977,4.772,3.813,4.523,3.263,4,4.789,2,148,167,1.625,3.472,4.798,5.195,5.231,5.231,5.231,0.28,0.598,0.826,0.895,0.901,0.901,0.901,4.183,2.336,1.009,0.612,0.576,0.576,0.576,20.855,13.809,13.158,9.718,7.342,5.828,3.818,2.814,0.289,0.551,0.144,0,0,0.118,0.294,4.439,5.495,7.454,18.853,11.195,9.778,6.077,4.037,2.914,1.801,2.107,0.25,0.301,0.083,0,0,0.048,0.115,2.538,2.705,3.226,17.775,10.629,8.6,5.241,3.377,2.356,1.455,1.415,0.144,0.138,0.031,0,0,0.031,0.076,1.601,1.658,1.902,29,31,43,50,59,70,67,63,69,68,72
28,7523.718,7.494,1004,4.328,3.106,4.134,2.547,4,4.107,2,100,111,1.408,2.449,4.018,4.544,4.635,4.635,4.635,0.258,0.449,0.736,0.832,0.849,0.849,0.849,4.052,3.01,1.441,0.915,0.824,0.824,0.824,15.079,10.186,8.66,6.611,5.003,4.161,2.607,1.15,0,0.083,0,0,0,0,0.185,2.109,2.787,4.02,13.679,8.314,6.453,4.277,2.842,2.126,1.281,0.885,0,0.048,0,0,0,0,0.06,1.335,1.504,1.951,12.99,7.124,5.261,3.323,2.087,1.497,0.819,0.672,0,0.029,0,0,0,0,0.053,0.957,1.017,1.275,21,22,28,33,39,49,46,48,48,46,40
29,5084.801,7.401,687,4.278,2.678,4.102,1.883,5,4.322,4,112,136,1.234,2.273,3.796,4.465,4.884,5.003,5.003,0.232,0.427,0.713,0.839,0.918,0.94,0.94,4.087,3.049,1.525,0.857,0.438,0.319,0.319,13.527,9.826,8.898,7.858,7.046,6.382,4.672,1.166,0,0.303,0,0,0,0,0.235,3.028,5.436,9.511,12.179,7.983,6.706,5.403,4.416,3.652,2.465,0.895,0,0.178,0,0,0,0,0.124,2.041,3.29,5.233,11.919,7.436,5.976,4.679,3.64,2.882,1.883,0.758,0,0.145,0,0,0,0,0.096,1.706,2.626,4.008,20,23,33,47,67,94,109,128,144,156,166
30,8074.873,7.802,1035,4.454,2.831,4.303,2.234,4,4.524,3,128,156,1.617,3.232,4.381,4.927,4.982,4.982,4.982,0.313,0.625,0.847,0.953,0.964,0.964,0.964,3.553,1.938,0.789,0.243,0.188,0.188,0.188,15.974,11.148,10.305,9.054,7.987,6.701,4.829,1.582,0,0.442,0,0,0,0.096,0.371,4.002,7.066,11.588,13.981,8.277,6.602,4.946,3.752,2.707,1.696,0.909,0,0.184,0,0,0,0.042,0.144,1.935,2.931,4.118,13.14,7.598,5.771,4.122,3.027,2.123,1.277,0.728,0,0.123,0,0,0,0.026,0.11,1.461,2.156,2.937,23,26,38,54,76,99,116,140,160,173,172
31,5084.801,7.401,687,4.278,2.678,4.102,1.883,5,4.322,3,112,136,1.312,2.523,4.092,4.631,4.907,4.958,4.958,0.248,0.477,0.774,0.876,0.928,0.938,0.938,3.973,2.762,1.193,0.654,0.378,0.327,0.327,13.527,9.826,8.898,7.858,7.046,6.382,4.672,1.166,0,0.303,0,0,0,0,0.235,3.028,5.436,9.511,12.179,7.983,6.706,5.403,4.416,3.652,2.465,0.895,0,0.178,0,0,0,0,0.124,2.041,3.29,5.233,11.789,7.296,5.833,4.518,3.491,2.75,1.784,0.744,0,0.133,0,0,0,0,0.09,1.635,2.49,3.77,20,23,33,47,67,94,109,128,144,156,166
32,5011.783,7.414,676,4.262,2.572,4.114,1.776,4,4.222,3,114,141,1.561,3.239,4.337,4.595,4.653,4.653,4.653,0.307,0.637,0.853,0.903,0.915,0.915,0.915,3.527,1.849,0.75,0.493,0.434,0.434,0.434,13.69,9.754,8.976,7.594,6.789,5.926,4.243,1.294,0,0.45,0,0.289,0.167,0.192,0.454,3.389,6.027,10.55,12.025,7.609,6.325,4.653,3.665,2.811,1.829,0.847,0,0.23,0,0.289,0.167,0.167,0.273,1.898,2.965,4.593,11.128,6.767,5.256,3.489,2.532,1.815,1.113,0.624,0,0.139,0,0.289,0.129,0.129,0.195,1.278,1.81,2.594,20,23,34,47,67,91,104,114,118,119,115
33,3582.449,6.863,522,3.975,2.829,3.803,2.307,3,3.572,2,88,101,1.922,3.094,3.566,3.923,3.923,3.923,3.923,0.4,0.644,0.742,0.816,0.816,0.816,0.816,2.885,1.713,1.241,0.884,0.884,0.884,0.884,12.466,7.982,7.921,5.639,4.758,3.237,2.081,2.053,0.289,0.52,0.118,0,0,0,0.17,3.092,5.052,6.398,11.845,7.093,6.659,4.135,3.218,2.022,1.094,1.707,0.25,0.306,0.072,0,0,0,0.126,2.018,3.023,3.384,9.645,5.555,4.101,2.869,1.963,1.201,0.582,0.503,0.013,0.096,0.004,0,0,0,0.075,0.97,1.247,1.382,17,18,26,31,38,42,43,47,39,32,26
34,4339.835,7.245,599,4.203,2.667,4.019,1.931,6,4.248,4,108,132,1.49,2.749,3.782,4.438,4.681,4.802,4.923,0.295,0.545,0.75,0.88,0.928,0.952,0.976,3.555,2.296,1.262,0.606,0.364,0.242,0.121,12.82,9.327,8.545,7.608,6.867,5.909,4.392,1.166,0,0.303,0,0,0,0.118,0.287,3.028,5.428,9.214,11.525,7.5,6.222,5.052,4.187,3.104,2.157,0.773,0,0.178,0,0,0,0.118,0.17,1.858,3.075,4.631,11.153,6.975,5.63,4.359,3.413,2.424,1.569,0.709,0,0.149,0,0,0,0.083,0.135,1.591,2.453,3.495,19,22,32,46,66,88,104,122,139,152,153
35,5675.627,7.557,751,4.324,2.618,4.186,1.585,4,4.392,3,120,149,1.378,2.875,4.224,4.815,5.053,5.053,5.053,0.259,0.54,0.794,0.905,0.949,0.949,0.949,3.944,2.447,1.098,0.507,0.269,0.269,0.269,14.449,10.199,9.481,8.653,7.689,6.65,4.791,1.603,0.118,0.658,0.096,0,0,0,0.224,4.456,8.144,14.11,13.154,8.368,7.192,6.03,4.87,3.822,2.487,1.22,0.102,0.421,0.066,0,0,0,0.124,3.06,5.085,7.974,12.096,7.499,6.022,4.791,3.67,2.758,1.678,0.849,0.046,0.255,0.029,0,0,0,0.103,2.067,3.219,4.77,21,24,36,53,75,102,118,139,156,165,176
36,5704.285,7.37,774,4.266,2.937,4.077,2.39,5,4.322,3,104,124,1.406,2.912,4.059,4.67,4.948,5.003,5.003,0.272,0.563,0.785,0.903,0.957,0.968,0.968,3.764,2.258,1.111,0.5,0.222,0.167,0.167,13.949,9.809,8.328,7.288,6.406,4.986,3.34,0.947,0,0.331,0,0,0,0.096,0.358,2.778,4.975,7.731,11.785,7.065,5.223,3.852,2.815,1.805,1.029,0.566,0,0.143,0,0,0,0.037,0.114,1.348,1.978,2.579,11.09,6.583,4.716,3.383,2.393,1.553,0.834,0.456,0,0.106,0,0,0,0.021,0.091,1.069,1.523,1.955,20,22,30,42,57,69,72,80,83,74,71
37,6584.165,7.692,856,4.378,2.663,4.255,1.857,4,4.459,3,126,156,1.358,2.755,4.294,4.844,5.066,5.066,5.066,0.25,0.508,0.791,0.893,0.934,0.934,0.934,4.069,2.671,1.132,0.582,0.361,0.361,0.361,15.32,10.593,10.114,9.005,7.827,7.125,5.092,1.892,0.118,0.658,0.096,0,0,0,0.21,4.812,8.441,15.149,14.025,8.761,7.826,6.385,5.008,4.267,2.732,1.508,0.102,0.421,0.066,0,0,0,0.111,3.418,5.385,8.943,13.043,7.872,6.581,5.129,3.88,3.091,1.925,1.072,0.046,0.255,0.029,0,0,0,0.097,2.349,3.522,5.456,22,25,38,55,78,110,128,151,169,183,196
38,5096.903,7.398,689,4.262,2.699,4.1,1.904,6,4.322,4,114,139,1.462,2.624,3.881,4.482,4.705,4.816,4.927,0.283,0.508,0.751,0.867,0.91,0.931,0.953,3.708,2.546,1.289,0.688,0.465,0.354,0.243,13.69,9.72,9.191,7.883,7.146,6.38,4.704,1.455,0,0.303,0,0,0,0.096,0.359,3.326,5.901,10.083,12.395,7.894,6.867,5.335,4.462,3.519,2.376,1.062,0,0.178,0,0,0,0.096,0.244,2.161,3.538,5.353,12.1,7.347,6.193,4.647,3.712,2.81,1.773,0.933,0,0.149,0,0,0,0.075,0.201,1.837,2.859,4.141,20,23,34,48,70,96,114,135,154,171,170
39,5374.701,7.393,727,4.248,2.732,4.097,2.121,4,4.122,2,106,125,1.707,3.195,3.962,4.607,4.696,4.696,4.696,0.345,0.645,0.8,0.93,0.948,0.948,0.948,3.247,1.759,0.992,0.347,0.258,0.258,0.258,14.113,9.648,8.83,7.405,5.955,5.364,3.691,1.366,0,0.358,0,0,0,0,0.17,3.217,4.686,8.056,12.188,7.197,5.731,4.118,2.828,2.223,1.362,0.807,0,0.158,0,0,0,0,0.056,1.614,1.978,2.953,11.133,6.448,4.833,3.263,2.267,1.675,0.944,0.589,0,0.067,0,0,0,0,0.056,1.037,1.368,1.916,20,22,31,41,54,74,81,87,88,82,76
40,9115.779,7.429,1227,4.302,3.466,4.065,2.915,4,4.202,3,94,100,1.729,2.98,4.158,4.629,4.676,4.676,4.676,0.319,0.549,0.766,0.853,0.862,0.862,0.862,3.697,2.446,1.268,0.797,0.75,0.75,0.75,15.665,10.007,8.716,5.561,4.52,2.893,1.761,1.429,0,0,0,0,0,0.118,0.167,1.724,2.691,2.789,14.198,8.352,6.516,3.809,2.751,1.658,1.008,0.917,0,0,0,0,0,0.048,0.068,0.985,1.348,1.272,13.374,7.704,5.722,3.433,2.328,1.471,0.955,0.586,0,0,0,0,0,0.031,0.045,0.63,0.804,0.78,21,21,26,27,32,29,27,26,22,22,23
